Date,Portfolio Value,Benchmark Value
2020-07-09,1.017773497470739,1.0055926623835965
2020-07-10,1.0196187216911585,0.9999675909095777
2020-07-13,1.0335509210539415,1.003490947961383
2020-07-14,1.0130691780205945,0.9868365734514003
2020-07-15,1.0138710655884966,0.9912559425497656
2020-07-16,1.0397976073867772,0.9995696413635815
2020-07-17,1.057412890261941,1.014220922158425
2020-07-20,1.061383428303003,1.0217300925771657
2020-07-21,1.0607446191721137,1.0296692332747368
2020-07-22,1.0577666536462924,1.0260993187147989
2020-07-23,1.0736422876210523,1.0355201805018137
2020-07-24,1.0694285045068699,1.0288854409520003
2020-07-27,1.0676360884635596,1.022777303407108
2020-07-28,1.0986325850129552,1.0422384807916556
2020-07-29,1.0855454968432903,1.0471180261760467
2020-07-30,1.0792374361699355,1.0391778726920147
2020-07-31,1.0879222555675743,1.0436675811022478
2020-08-03,1.0695149527434773,1.0307691314507275
2020-08-04,1.0949887490824581,1.041738316124497
2020-08-05,1.116547676673797,1.0484500413914535
2020-08-06,1.122025841653074,1.0589929430620109
2020-08-07,1.1188270033875618,1.0650458034614818
2020-08-10,1.1481413640954892,1.0763283670355253
2020-08-11,1.1461693438217413,1.0759562799384859
2020-08-12,1.143916647586865,1.0780322626477967
2020-08-13,1.1545292813038777,1.085289216720464
2020-08-14,1.1522036182587923,1.0747685177893653
2020-08-17,1.17275432798003,1.0881649843226715
2020-08-18,1.1773388119897161,1.1025502686090694
2020-08-19,1.1789330666563989,1.1062950734295156
2020-08-20,1.1764756863837587,1.1030749659245749
2020-08-21,1.1762129124631253,1.1094367357836408
2020-08-24,1.167009287093667,1.1146720180705854
2020-08-25,1.161194735314247,1.1213927178306242
2020-08-26,1.1865612258366895,1.1263332480907795
2020-08-27,1.195542387451062,1.129162948067496
2020-08-28,1.1841345528034426,1.1384176988160355
2020-08-31,1.1453187778209206,1.1050307784091689
2020-09-01,1.1637536937295943,1.1175537218645775
2020-09-02,1.1808769429142179,1.1254766292178717
2020-09-03,1.175856071927551,1.1313570360318042
2020-09-04,1.1562766994348253,1.1103567197017872
2020-09-07,1.1411376993788138,1.1089824424638892
2020-09-08,1.1318213869112097,1.096870444930208
2020-09-09,1.152233738019038,1.095104338482768
2020-09-10,1.1646518832872654,1.1049462396921659
2020-09-11,1.1705775094583097,1.1085761006691084
2020-09-14,1.1669403882389364,1.1097710566464707
2020-09-15,1.1765622676669472,1.117806849739614
2020-09-16,1.2011927060389747,1.1251082358746605
2020-09-17,1.1871657666833795,1.1188704123183153
2020-09-18,1.2205852452802826,1.1258915504443723
2020-09-21,1.1706366637504482,1.0903054145662545
2020-09-22,1.1569944593365495,1.0818495246974589
2020-09-23,1.154282520441308,1.0746189218266848
2020-09-24,1.1129422896856769,1.04225563711295
2020-09-25,1.1433252516673562,1.070726048155829
2020-09-28,1.1696839895773377,1.0974716935663904
2020-09-29,1.1868386555819235,1.09242576762855
2020-09-30,1.1838864258052315,1.0942524631316786
2020-10-01,1.18203734954448,1.111710079393752
2020-10-05,1.1862107911843724,1.120467990638575
2020-10-07,1.1925084845948462,1.1220518133115336
2020-10-08,1.2021444627624491,1.129121218623096
2020-10-09,1.2019718597620954,1.1296997470387418
2020-10-12,1.2013703325676872,1.1311681757994323
2020-10-13,1.2145183225620035,1.1273521210096162
2020-10-14,1.2042797489086787,1.1280901396602592
2020-10-15,1.176728924709975,1.1061986318233947
2020-10-16,1.1894155502608748,1.1180134339413743
2020-10-19,1.2046324147056748,1.125477030733481
2020-10-20,1.2298742380797514,1.1288839975249219
2020-10-21,1.2150643449102354,1.1325745581090492
